Paper ID,Drive Link,Author List,Publication Year,Publisher,Venue,Title,Categories ,Problem Statement,Dataset Used,Techniques Used ,Performance ,Challenges,Future Work
120,https://drive.google.com/file/d/1JsnRHi2gIDg31i78q8AV8T_y6u4HG9Vv/view?usp=sharing,"Anh Tuan Nguyen, Tung Thanh Nguyen, Jafar Al-Kofahi, Hung Viet Nguyen, Tien N. Nguyen",2011,IEEE,ASE,A Topic-based Approach for Narrowing the Search Space of Buggy Files from a Bug Report,Bug Localization,Bug localization is a time-consuming task in large systems due to the high number of files. This paper proposes BugScout to automate this process using topic modeling.,Source code and bug reports from several real-world systems,"Latent Dirichlet Allocation (LDA), Topic modeling",Recommends correct buggy files in up to 45% of cases with a ranked list of 10 files,Managing lexical mismatch between bug reports and code,Further optimization of topic modeling for better accuracy and scalability
87,https://drive.google.com/file/d/1DFHQORchj6HB4X12zFFCp_0oeetovo04/view?usp=sharing,"Jian Zhou, Hongyu Zhang, David Lo",2012,IEEE,ICSE,Where Should the Bugs Be Fixed? More Accurate Information Retrieval-Based Bug Localization Based on Bug Reports,Bug Localization,"Manually locating source code files for bug fixes is costly; this paper proposes BugLocator, which uses IR techniques for locating relevant files from bug reports.","Source code from four open-source projects with over 3,000 bugs","Revised Vector Space Model (rVSM), Latent Dirichlet Allocation (LDA)",BugLocator can locate relevant buggy files with a top-10 ranking for 62.6% of Eclipse 3.1 bugs,Lexical mismatch between bug report descriptions and source code terms,Enhancing the method to improve ranking and accuracy for large projects
80,https://drive.google.com/file/d/1ZqxBvt9yhTUnsuUYrcFKJkzSH-kuTE6i/view?usp=sharing,"Xin Ye, Razvan Bunescu, Chang Liu",2014,ACM,SIGSOFT/FSE,Learning to Rank Relevant Files for Bug Reports Using Domain Knowledge,Bug Localization,This paper introduces a ranking system that uses domain knowledge for locating buggy files from bug reports.,Source code and bug reports from six large open-source Java projects,"Learning-to-rank technique, API documentation, Collaborative filtering",Correctly recommends relevant files in the top 10 for 70% of Eclipse Platform bug reports,Lexical mismatches between natural language bug reports and programming language constructs,Using domain knowledge and API documentation to further improve rankings
74(HyLoc),https://drive.google.com/file/d/17I52dhspmBXlMu1f9bAIIj3el6DW3PAC/view?usp=sharing,"An Ngoc Lam, Anh Tuan Nguyen, Hoan Anh Nguyen, Tien N. Nguyen",2015,IEEE,ASE,Combining Deep Learning with Information Retrieval to Localize Buggy Files for Bug Reports,Bug Localization,HyLoc addresses the lexical mismatch problem in bug localization using deep learning combined with IR techniques.,Source code and bug reports from real-world software projects,"Deep neural networks (DNN), Revised Vector Space Model (rVSM)",Correct buggy file ranked in the top 1 for 50% of bug reports,Lexical mismatch between bug report terms and code tokens,Scaling DNN to handle large-scale projects and datasets
81(NPCNN),https://drive.google.com/file/d/1nSMGaKpHddtj9NM9KbnV_LzOkSiDQ3sc/view?usp=sharing,"Xuan Huo, Ming Li, Zhi-Hua Zhou",2016,IJCAI,IJCAI,Learning Unified Features from Natural and Programming Languages for Locating Buggy Source Code,Bug Localization,Bug localization using unified feature learning from natural and programming languages to bridge lexical and structural gaps.,Source code and bug reports from widely-used software projects,"Convolutional Neural Networks (CNN), Unified feature extraction",Outperforms state-of-the-art methods in locating buggy files,Capturing program structure semantics in feature extraction,Extending the model to more complex program structures and larger projects
25(DNNLoc),https://drive.google.com/file/d/1GYKQu69nWd580M0pCxeuVONReOkRaJle/view?usp=sharing,"An Ngoc Lam, Anh Tuan Nguyen, Hoan Anh Nguyen, Tien N. Nguyen",2017,IEEE,ICPC,Bug Localization with Combination of Deep Learning and Information Retrieval,Bug Localization,"Proposes DNNLoc, a method that combines deep learning and IR to bridge the lexical mismatch gap in bug localization.",Bug reports and source code from open-source projects,"Deep neural networks (DNN), Revised Vector Space Model (rVSM)",Correctly identifies buggy files within top 1 for 50% of cases,Lexical mismatch between bug report and code terminology,Further improving the model's scalability and precision
26(DeepLocator),https://drive.google.com/file/d/1rzwHbUvk32LhEKpVxBB61frYTtf_I1Gg/view?usp=sharing,"Yan Xiao, Jacky Keung, Qing Mi, Kwabena E. Bennin",2017,IEEE,APSEC,Improving Bug Localization with an Enhanced Convolutional Neural Network,Bug Localization,Existing bug localization approaches do not fully utilize semantic information in bug reports and source code,"Bug reports from AspectJ, Eclipse, JDT, SWT, Tomcat","CNN, rTF-IDF, word2vec",9.77% to 26.65% higher F-measure than conventional CNN,Handling lexical gap between bug reports and source code,Improving performance in large-scale software projects​
73,https://drive.google.com/file/d/1Ex3yoXzi_xwiLTrINCEJE1G4twBcwqpL/view?usp=sharing,"Pablo Loyola, Kugamoorthy Gajananan, Fumiko Satoh",2018,ACM,CIKM,Bug Localization by Learning to Rank and Represent Bug Inducing Changes,Bug Localization,Bug localization modeled as learning feature representations from source changes extracted from project history,Real-world software projects,"Feature learning, ranking, syntactic and code change dependency representations",Competitive results in both intra- and cross-project settings,Addressing unbalanced datasets for bug reports and source code changes,Extending the model for more complex project histories​
101(DeepBugs),https://drive.google.com/file/d/1vdFBxBxwNnC2Aw6dMvOSL7iMqdiyhDbB/view?usp=sharing,"Michael Pradel, Koushik Sen",2018,ACM,FSE,DeepBugs: A Learning Approach to Name-based Bug Detection,Bug Localization,"Most bug detection tools ignore the information conveyed by variable and function names, missing certain classes of bugs","150,000 JavaScript files","Machine learning, binary classification, embeddings","Detects name-based bugs with 89-95% accuracy, revealing 102 programming mistakes",Lexical gap between correct and incorrect identifier names,Expanding name-based bug detection to other types of mistakes and programming languages​
75,https://drive.google.com/file/d/13G7W_jM1AsHx0uvPHn2EFflfKC4WRsZx/view?usp=sharing,"Sravya Polisetty, Andriy Miranskyy, Ayşe Başar",2019,ACM,PROMISE,On Usefulness of the Deep-Learning-Based Bug Localization Models to Practitioners,Bug Localization,Investigating whether deep learning models for bug localization meet the expectations of practitioners,Five open-source Java projects,"CNN, Logistic Regression","Deep learning models perform better than traditional ML, but only partially meet practitioner expectations",Addressing the limitations of deep learning models in practical production environments,Standardization of performance benchmarks​
76(DeepLoc),https://drive.google.com/file/d/140RoClceLqKe9wa5fsT6FmeBV1KraXoF/view?usp=sharing,"Yan Xiao, Jacky Keung, Kwabena E. Bennin, Qing Mi",2019,Elsevier,IST,Improving Bug Localization with Word Embedding and Enhanced CNN,Bug Localization,Semantic information in bug reports and source code is underutilized in current bug localization approaches,"18,500 bug reports from AspectJ, Eclipse, JDT, SWT, Tomcat","CNN, word embedding, feature detection",10.87%-13.4% higher MAP than conventional CNN,Handling lexical gap between bug reports and source code,Enhancing word embeddings and feature detection techniques​
79,https://drive.google.com/file/d/1q1E5PrZMXGGECv2cEigL6W01mzRGNFlo/view?usp=sharing,"Guangliang Liu, Yang Lu, Ke Shi, Jingfei Chang, Xing Wei",2019,IEEE,IEEE Access,Convolutional Neural Networks-Based Locating Relevant Buggy Code Files for Bug Reports Affected by Data Imbalance,Bug Localization,Solving the lexical gap between bug reports and source code for improved bug localization,Bug reports from large software projects,"CNN, surface lexical correlation, semantic correlation, focal loss",High bug localization performance compared to classic methods,Addressing data imbalance in bug localization,Combining surface lexical and semantic correlation for more accurate bug localization​
116(CAST),https://drive.google.com/file/d/1yzkFwYR8YT0C9xVOgFj2A5nrqCEOt_xS/view?usp=sharing,"Hongliang Liang, Lu Sun, Meilin Wang, Yuxing Yang",2019,IEEE,IEEE Access,Deep Learning With Customized Abstract Syntax Tree for Bug Localization,Bug Localization,Existing bug localization approaches fail to fully utilize structural and semantic information in source code,"Bug reports from AspectJ, JDT, SWT, Tomcat","CNN, AST, TBCNN",Outperforms state-of-the-art methods in locating buggy source files,Handling the hierarchical structure of programming languages in bug localization,Leveraging customized ASTs to improve accuracy and learning performance​
77(KGBugLocator),https://drive.google.com/file/d/1QQzqNcpRNrqEf8N4JBZdF892SSoc8X9h/view?usp=sharing,"Jinglei Zhang, Rui Xie, Wei Ye, Yuhan Zhang, Shikun Zhang",2020,ACM,ICPC,Exploiting Code Knowledge Graph for Bug Localization via Bi-Directional Attention,Bug Localization,Existing bug localization techniques fail to fully utilize interrelations within and across source files,Four large open-source software projects,"Knowledge graph embeddings, bi-directional attention",Outperforms previous bug localization models on real-world datasets,Capturing the interrelations between source files for improved bug localization,Extending knowledge graph embeddings for larger and more complex projects​
